  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   2.558196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.450   0       40.0217    399.9998    9.99456205    85.01360     1.342     0.980     1.638    4116.6    4052.0    4169.4  0.730297  0.745177  0.972547  1.007697  1.3802838  0.2070907  0.1397524  0.0000000   0.01988     9.265   0.01988     9.265     21.3396     8.94473   0.0000000   0.1039295   0.0342654   0.3048210  -0.02511   0.003157935   0.100091870   0.000195404   0.057989927     0.9326     0.28833   0.204503     0.28665   0.015878    0.63803    0.48558    0.26852    0.30680   0.279449   0.088689   0.165440   0.173483   1.000000   0   600     0   1   0.00000000    118359   51.671  14.6879  2.74139  2.74139   2.52081   2.87080   0.04445   1.00000   0.02115   0.39905   1.78612   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
   131    9.160   10.379   26.843   48.176   -1.254   1.7559      8.9157  3.560   0.3350  86.5813   0.9220   0.0002   0.7486   0.0000   0.0830   0.7294     41.1     2    2.210    102018   0.9346   0.9095    13.08041   1.0000000
   132    9.696   10.498   24.207   47.982   -1.201   1.3586      7.0574  4.635   0.4251  86.9186   0.9229   0.0002   0.7579   0.0000   0.0737   0.7172     33.4     2    2.058     98549   0.9329   0.9128    10.34008   1.0000000
   133    9.682   10.413   20.787   32.788   -1.160   0.7890      4.0317  5.409   0.4720  84.4016   0.9164   0.0001   0.9497   0.0000   0.0596   0.7238     32.0     2    1.604    103855   0.9242   0.9086     3.49951   1.0000000
   134    7.336    8.691   30.147  109.106   -1.338   3.0586     10.8882  3.876   0.3139  89.7666   0.9295   0.0004   0.4142   0.0000   0.0542   0.4135     17.4     2    2.931     79765   0.9377   0.9213    26.40926   1.0000000
   135   15.386   15.277   34.712  342.735   -1.467  15.1121    166.2820  4.332   0.5103  94.6330   0.9392   0.0008   0.0000   0.0000   0.0464   0.0000      0.0     2    8.215     66257   0.9394   0.9390    29.38066   1.0000000
   136    7.103    8.511   32.008  101.248   -1.390   2.9041      9.9146  3.709   0.2935  89.5292   0.9290   0.0004   0.4228   0.0000   0.0723   0.4202     16.3     2    2.925     83493   0.9375   0.9204    22.19260   1.0000000
   137    7.004    8.470   24.585   17.601   -1.207   0.5161      1.7450  3.611   0.2835  79.5603   0.9017   0.0000   1.2312   0.0000   0.0718   1.1326     28.1     2    1.267    125996   0.9264   0.8771     1.89710   1.0000000
   138    8.819   10.229   22.952   11.770   -1.182   0.4907      2.4195  3.067   0.2814  74.0541   0.8810   0.0000   1.4451   0.0000   0.0668   0.9672     65.3     2    1.200    145779   0.8989   0.8631     1.05046   1.0000000
   139    6.535    7.409   30.933  107.358   -1.360   2.2944      5.9370  4.334   0.2904  89.4148   0.9287   0.0005   0.3923   0.0000   0.0645   0.3686      8.7     2    2.623     78947   0.9355   0.9220    12.65198   1.0000000
   140    6.647    7.704   31.710   95.086   -1.382   2.3755      6.6449  3.855   0.2702  88.8770   0.9275   0.0004   0.4483   0.0000   0.0681   0.4340     12.0     2    2.635     83031   0.9361   0.9190    14.20684   1.0000000
   141   10.541   10.645   23.192   43.601   -1.186   0.8969      4.7898  6.469   0.5312  86.3023   0.9213   0.0001   0.8213   0.0000   0.0609   0.5960     27.0     2    1.948    100004   0.9270   0.9157     4.38949   1.0000000
   142   10.275   11.065   22.388   20.187   -1.175   0.4535      2.6170  6.157   0.5277  82.3015   0.9104   0.0000   1.1855   0.0000   0.0647   0.8979     37.6     2    1.492    125677   0.9207   0.9000     1.95522   1.0000000
   201   38.530   35.725   14.297   35.772   -1.146   6.6489    400.0000  2.403   0.4500  85.8481   0.9202  -0.0001   1.0167   0.0000   0.0297   0.0081   3757.0     3    3.066    120625   0.9203   0.9201     0.99353   1.0000000
   202   32.096   33.162   15.406   20.065   -1.146   3.6297    188.1470  2.292   0.4222  80.7884   0.9057  -0.0001   1.2050   0.0000   0.0813   0.0408   2828.3     3    2.437    150126   0.9061   0.9054     1.22475   1.0000000
   203   29.210   29.850   16.812   17.829   -1.147   2.8086    117.9562  2.369   0.4273  81.2092   0.9071  -0.0001   1.1822   0.0000   0.1306   0.0844   1676.7     3    2.313    155908   0.9078   0.9064     1.58831   1.0000000
   204   22.868   23.661   18.165   19.009   -1.149   2.3470     61.9306  2.396   0.3928  81.3031   0.9074  -0.0001   1.1435   0.0000   0.1300   0.0885    799.9     3    2.126    146943   0.9081   0.9066     1.11606   1.0000000
   205   21.462   22.411   19.054   18.688   -1.151   2.0661     48.9098  2.534   0.4064  80.6342   0.9053  -0.0001   1.1923   0.0000   0.1041   0.0630    712.8     3    2.101    148283   0.9058   0.9047     0.66196   1.0000000
   206   20.155   21.247   19.575   18.579   -1.153   1.7073     36.3279  2.890   0.4502  80.6389   0.9053  -0.0000   1.2376   0.0000   0.0763   0.0437    591.7     3    2.057    147923   0.9056   0.9049     0.38176   1.0000000
   207   18.959   20.081   20.179   16.683   -1.156   1.2590     23.9279  3.326   0.4920  80.4530   0.9047  -0.0000   1.2922   0.0000   0.0738   0.1347    445.1     3    1.948    152216   0.9058   0.9035     0.82438   1.0000000
   208   17.484   18.694   20.794   15.947   -1.160   1.0779     17.7547  3.458   0.4875  79.9530   0.9030  -0.0001   1.3237   0.0000   0.0662   0.0874    356.5     3    1.865    152853   0.9038   0.9023     0.40630   1.0000000
   209   15.647   17.278   21.204   14.982   -1.164   0.9215     12.9649  3.512   0.4714  79.0004   0.8999  -0.0000   1.3669   0.0000   0.0560   0.1174    289.0     3    1.751    153657   0.9009   0.8988     0.41301   1.0000000
   210   14.038   15.596   21.884   16.932   -1.170   0.9026     10.3479  3.658   0.4572  80.1242   0.9036  -0.0000   1.2939   0.0000   0.0617   0.2648    193.4     3    1.730    146199   0.9061   0.9011     0.94799   1.0000000
   211   11.266   12.794   22.997   18.728   -1.183   0.8301      6.4038  3.609   0.3960  80.7233   0.9055   0.0000   1.2263   0.0000   0.0682   0.4223    101.6     3    1.624    136167   0.9101   0.9009     1.27825   1.0000000
   212   23.386   24.582   16.274   19.768   -1.146   2.4645     70.1909  2.465   0.4137  80.8413   0.9059  -0.0000   1.1934   0.0000   0.0841   0.0349   1025.7     3    2.051    140928   0.9062   0.9056     0.51070   1.0000000
   213   20.006   21.164   17.468   16.980   -1.147   1.4717     31.0704  3.052   0.4715  81.4433   0.9078  -0.0000   1.2188   0.0000   0.1115   0.2437    483.4     3    1.847    145113   0.9099   0.9057     1.87876   1.0000000
   214   18.221   19.584   18.718   14.558   -1.150   1.0938     19.7737  3.258   0.4773  79.9717   0.9031  -0.0000   1.2972   0.0000   0.1090   0.1402    372.4     3    1.745    152557   0.9043   0.9019     0.61961   1.0000000
   215   16.790   17.952   20.233   14.344   -1.157   0.7969     12.1031  4.040   0.5326  81.5620   0.9082  -0.0000   1.2502   0.0000   0.1428   0.6300    203.4     3    1.725    153920   0.9144   0.9019     2.41038   1.0000000
   216   18.060   18.983   16.735   24.689   -1.147   2.3034     39.1205  2.544   0.3678  81.2084   0.9071  -0.0000   1.1109   0.0000   0.0599   0.0348    466.0     3    1.891    123203   0.9074   0.9068     0.41299   1.0000000
   217   17.307   18.321   17.564   21.279   -1.148   1.7845     28.2322  2.731   0.3885  80.3476   0.9043  -0.0000   1.1780   0.0000   0.0633   0.1480    397.3     3    1.813    130062   0.9056   0.9030     1.24467   1.0000000
   218   13.264   14.137   18.612   25.250   -1.150   1.1773     11.0891  3.790   0.4422  82.1296   0.9099   0.0000   1.0898   0.0000   0.0583   0.1661    125.4     3    1.658    118285   0.9112   0.9086     0.85072   1.0000000
   219   14.425   15.334   18.717   22.767   -1.150   1.5469     17.1432  2.821   0.3539  80.5044   0.9048   0.0000   1.1359   0.0000   0.0646   0.1698    217.4     3    1.711    124360   0.9064   0.9033     1.06078   1.0000000
   220   12.359   13.334   19.775   23.625   -1.154   1.3136     11.0071  2.998   0.3395  80.4366   0.9046   0.0000   1.1239   0.0000   0.0575   0.2200    135.5     3    1.633    120879   0.9068   0.9025     1.05488   1.0000000
   221   29.623   25.217   17.407   62.671   -1.147   7.0673    211.8529  2.796   0.4747  91.0772   0.9323  -0.0001   0.7010   0.0000   0.0603   0.0202    852.5     3    3.478     95790   0.9326   0.9320     5.22768   1.0000000
   222   19.980   21.596   20.467   17.313   -1.158   2.0732     45.5709  2.255   0.3448  78.6822   0.8988  -0.0000   1.2730   0.0000   0.0779   0.0936    809.1     3    2.103    153862   0.8997   0.8978     0.89096   1.0000000
   223   19.245   20.989   21.204   15.440   -1.164   1.7172     35.6564  2.359   0.3591  77.8532   0.8958  -0.0000   1.3275   0.0000   0.0786   0.0827    722.5     3    2.032    160219   0.8967   0.8950     0.58397   1.0000000
   224   16.935   18.817   21.676   15.499   -1.168   1.5708     26.2147  2.321   0.3258  76.9605   0.8926  -0.0000   1.3420   0.0000   0.0653   0.0641    550.2     3    1.918    156277   0.8932   0.8919     0.35961   1.0000000
   225   10.667   12.398   22.153   15.482   -1.173   0.9701      7.0289  2.473   0.2517  75.3619   0.8864   0.0000   1.3373   0.0000   0.0548   0.2646    146.0     3    1.465    139807   0.8900   0.8828     0.59476   1.0000000
   226   15.334   16.992   22.141   17.446   -1.173   1.4099     19.1858  2.628   0.3530  78.2026   0.8971  -0.0000   1.2942   0.0000   0.0566   0.1100    358.7     3    1.893    147341   0.8982   0.8960     0.57053   1.0000000
   227   13.898   15.347   22.661   22.714   -1.179   1.5103     16.7663  2.885   0.3633  79.8769   0.9028   0.0000   1.1790   0.0000   0.0459   0.0786    236.6     3    1.957    133656   0.9035   0.9021     0.46995   1.0000000
   228   11.720   13.132   24.531   24.581   -1.207   1.2229      9.9398  3.300   0.3716  81.2968   0.9073   0.0000   1.0971   0.0000   0.0709   0.5732    114.5     3    1.921    128221   0.9137   0.9010     3.26897   1.0000000
   229   23.723   24.248   18.063   18.591   -1.148   2.0216     56.0256  2.788   0.4653  82.0002   0.9095  -0.0001   1.1613   0.0000   0.1263   0.0775    756.4     3    2.140    148552   0.9101   0.9089     0.91291   1.0000000
   230   21.172   22.510   18.839   18.093   -1.150   1.8235     43.5489  2.792   0.4495  80.8896   0.9061  -0.0000   1.2129   0.0000   0.1006   0.0670    667.7     3    2.066    149469   0.9066   0.9055     0.63806   1.0000000
   231   20.016   21.333   19.367   18.780   -1.152   1.7310     37.1299  2.893   0.4515  80.5857   0.9051  -0.0000   1.2330   0.0000   0.0757   0.0471    598.0     3    2.053    147159   0.9055   0.9047     0.41929   1.0000000
   232   18.806   20.069   19.754   19.956   -1.154   1.5768     29.9314  3.175   0.4735  80.9083   0.9061  -0.0000   1.2324   0.0000   0.0557   0.0429    481.3     3    2.020    144091   0.9065   0.9058     0.35520   1.0000000
   233   10.776   11.277   21.996   42.389   -1.171   2.0992     12.5819  2.847   0.2797  83.9599   0.9152   0.0001   0.7922   0.0000   0.0876   0.4464     65.5     3    1.931    100343   0.9204   0.9099     5.22198   1.0000000
   234   10.941   11.299   21.147   53.190   -1.163   1.7311     10.4165  4.340   0.4239  85.9928   0.9206   0.0001   0.7530   0.0000   0.0426   0.2056     48.6     3    2.028     92688   0.9221   0.9190     2.42903   1.0000000
   235   17.773   19.242   20.251   16.283   -1.157   1.1183     19.5149  3.502   0.5000  79.5826   0.9018  -0.0000   1.3288   0.0000   0.0565   0.1261    396.8     3    1.871    152416   0.9029   0.9008     0.63818   1.0000000
   236   15.914   17.993   20.836   13.371   -1.161   0.6606     10.0803  4.552   0.5738  79.0903   0.9002  -0.0000   1.4121   0.0000   0.0630   0.2024    250.5     3    1.703    160694   0.9018   0.8985     0.53093   1.0000000
   237   12.630   12.798   21.720   29.660   -1.168   1.2222      9.4346  3.882   0.4212  83.0242   0.9125   0.0000   1.0098   0.0000   0.0627   0.3766     87.2     3    1.840    115267   0.9158   0.9092     2.29974   1.0000000
   238   12.984   13.975   22.317   23.107   -1.175   1.0258      9.4417  3.935   0.4515  81.9588   0.9094   0.0000   1.1155   0.0000   0.0763   0.3591    113.9     3    1.825    128890   0.9125   0.9063     1.64079   1.0000000
   239   11.916   12.684   21.126   34.766   -1.163   1.6353     12.4000  3.371   0.3696  83.4997   0.9139   0.0000   0.9263   0.0000   0.0659   0.3182     92.3     3    1.894    108462   0.9168   0.9110     2.71989   1.0000000
END
