Chicken Embryo CAM
636 XXX NSEG NNOD



SEGMENT NAME   TYPE   FROM       TO    DIAM   LENGTH  HDmes  VELmes
1	3	1	2	77.52	424.34	0.50	0.00
3	3	2	3	121.57	71.04	0.51	0.00
5	3	5	1	30.17	144.03	0.52	0.00
7	3	7	1	87.25	256.25	0.50	0.00
8	3	8	9	29.54	280.37	0.38	0.00
9	3	9	10	112.46	167.54	0.51	0.00
10	3	10	4	45.52	218.30	0.43	0.00
12	3	8	11	12.00	174.43	0.01	0.00
13	3	11	9	119.25	199.65	0.51	0.00
14	3	12	11	116.18	56.04	0.51	0.00
15	3	13	14	26.50	176.06	0.45	0.00
16	3	14	15	18.26	125.25	0.45	0.00
17	3	14	16	32.83	49.38	0.45	0.00
18	3	16	17	18.86	102.58	0.47	0.00
19	3	15	17	88.49	71.53	0.51	0.00
20	3	17	18	98.33	39.38	0.50	0.00
21	3	18	12	112.63	67.69	0.51	0.00
22	3	16	19	19.52	156.13	0.35	0.00
23	3	13	20	40.98	139.41	0.49	0.00
24	3	20	21	53.87	30.89	0.49	0.00
25	3	21	19	21.25	71.58	0.43	0.00
26	3	21	22	39.28	102.02	0.50	0.00
27	1	23	24	24.88	215.18	0.53	0.00
28	2	24	22	18.63	53.24	0.48	0.00
29	2	24	25	21.52	61.39	0.55	0.00
30	3	19	26	29.13	82.15	0.42	0.00
31	3	22	26	33.53	26.94	0.50	0.00
32	3	26	25	41.28	58.82	0.49	0.00
34	1	28	29	55.17	83.80	0.52	0.00
35	2	29	30	21.95	164.34	0.36	0.00
36	1	29	31	55.03	47.60	0.52	0.00
37	1	31	32	34.83	71.64	0.51	0.00
38	1	32	33	17.06	176.68	0.29	0.00
39	1	32	34	23.86	184.19	0.52	0.00
40	1	34	35	24.60	150.97	0.54	0.00
41	1	34	36	23.22	216.15	0.50	0.00
42	1	36	37	15.02	139.31	0.52	0.00
43	2	36	38	20.14	93.55	0.49	0.00
44	2	39	38	20.14	180.04	0.54	0.00
45	3	38	40	32.40	188.33	0.53	0.00
46	1	31	41	47.44	231.46	0.53	0.00
47	1	41	39	33.43	308.18	0.52	0.00
48	2	39	42	19.42	174.83	0.41	0.00
49	3	42	43	36.73	348.95	0.40	0.00
50	1	41	23	53.55	125.06	0.53	0.00
51	1	23	44	38.96	85.76	0.53	0.00
52	2	44	45	20.03	65.78	0.51	0.00
53	2	44	45	22.36	62.67	0.53	0.00
55	3	45	47	33.43	27.21	0.53	0.00
