  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   3.058196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.444  11       61.3870    409.4847    6.67055021    80.19933     3.511     3.016     3.906    7362.4    7741.1    7061.7  0.859115  0.798513  1.024255  1.050415  0.6167751  0.6010846  0.4410538  0.5905828   0.08059    25.603   0.03798    11.608     34.3831    45.61469   0.0162954   0.1346133   0.2210107   0.1411570  -0.06520   0.053083954   0.013136117   0.020680607   0.029507414     1.2530     0.22878   0.702430     0.77274   0.037001    0.70990    0.57034    0.40078    0.31204   0.291477   0.103002   0.167740   0.171089   1.000000   0   600     0   1   0.00000000    168689   50.006  14.6882  3.53188  3.53188   0.93615   0.95594   0.28338   1.00000   0.04114   0.40643   6.35068   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
    18   11.520   15.240   26.439   41.523   -1.245   0.9553     10.4626  8.283   0.6975  87.4657   0.9242   0.0003   0.7633   0.0000   0.4957   0.4403     50.2     1    1.812    165968   0.9272   0.9212     4.51232   1.0000000
    19   12.430   15.755   23.413   32.946   -1.189   0.7485      8.7551  8.669   0.7167  85.6269   0.9196   0.0022   0.9565   0.0000   0.4419   0.2670     70.5     1    1.588    170524   0.9212   0.9181     1.53988   1.0000000
    20   12.180   14.173   22.238   38.890   -1.174   0.6470      6.1203 10.646   0.7354  84.7052   0.9172   0.0030   1.0482   0.0000   0.3275   0.1573     62.4     1    1.508    154153   0.9181   0.9163     0.80881   1.0000000
    21    6.060   14.118   21.513   41.023   -1.166   0.6145      5.7657 11.776   0.7549  84.1374   0.9156   0.0035   1.1035   0.0000   0.2722   0.1238     67.5     1    1.432    155645   0.9163   0.9150     0.64207   1.0000000
    22    6.950   11.159   20.954   34.095   -1.162   0.4495      2.6345 10.573   0.6733  82.0914   0.9098   0.0036   1.2883   0.0000   0.2038   0.8517     48.7     1    1.182    145748   0.9181   0.9015     3.37704   1.0000000
    23    5.840    7.679   22.858   68.984   -1.181   0.6155      1.7072 10.749   0.5990  84.7637   0.9173   0.0034   1.0269   0.0000   0.1380   0.4785     16.6     1    1.218    111207   0.9212   0.9135     2.64954   1.0000000
    24   12.980    6.409   29.138  167.883   -1.311   1.3740      2.6527  9.777   0.5616  88.9575   0.9277   0.0069   0.5497   0.0000   0.1934   0.1908      6.8     1    2.023     80834   0.9290   0.9264     3.86435   1.0000000
    25    6.140    9.642   34.229  131.915   -1.453   1.6191      7.1120  9.833   0.6180  90.4157   0.9309  -0.0025   0.3596   0.0000   0.3967   0.1593      9.2     1    2.383    115391   0.9320   0.9298     5.03070   1.0000000
    26    5.250    9.617   29.950  115.237   -1.333   1.2081      5.2759 11.478   0.6553  89.3839   0.9286  -0.0009   0.4985   0.0000   0.3398   0.1870     11.4     1    2.007    115834   0.9298   0.9275     3.52746   1.0000000
    27    8.710    9.472   26.318   96.182   -1.242   0.8823      3.7362 12.918   0.6794  88.0426   0.9256   0.0001   0.6771   0.0000   0.2795   0.3087     14.1     1    1.843    107858   0.9275   0.9236     3.73578   1.0000000
    28    3.800    8.133   32.153  140.155   -1.395   1.6797      5.2399  8.486   0.5385  89.6431   0.9292  -0.0007   0.4642   0.0000   0.2998   0.3554     10.0     4    2.035    107173   0.9327   0.9257    12.68510   1.0000000
    29    6.590    7.813   33.931  114.939   -1.445   1.7565      5.0571  6.394   0.4404  88.7739   0.9273  -0.0002   0.5600   0.0000   0.3023   0.5072     13.3     4    2.002    110988   0.9339   0.9207    16.24251   1.0000000
    30    6.390   12.162   25.151   48.426   -1.218   1.4764     10.2963  4.988   0.4903  86.8167   0.9226   0.0008   0.7302   0.0000   0.4576   0.1313     45.1     4    1.577    146160   0.9235   0.9218     1.31877   1.0000000
    31    6.020   10.765   24.009   56.497   -1.198   1.2260      6.6950  6.201   0.5219  86.1884   0.9211   0.0015   0.7925   0.0000   0.3635   0.1130     34.9     4    1.467    133475   0.9218   0.9204     0.96540   1.0000000
    32    6.590    9.991   21.634   51.325   -1.167   0.8705      4.0945  7.364   0.5506  84.2706   0.9160   0.0024   0.9918   0.0000   0.2602   0.5305     36.2     4    1.280    127037   0.9204   0.9117     3.78298   1.0000000
    33    6.680    9.961   39.030  156.089   -1.580   2.8593     13.4709  6.823   0.5298  91.5347   0.9332  -0.0057   0.2015   0.0000   0.4563   0.1056      8.0     1    2.900    115990   0.9343   0.9322     8.61935   1.0000000
    34    5.130    9.280   34.390  166.806   -1.458   2.2181      9.0681  8.755   0.5808  90.9927   0.9321  -0.0060   0.2611   0.0000   0.3851   0.0152      7.5     1    2.502    108528   0.9322   0.9320     0.66101   1.0000000
