  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   3.058196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.444  11       61.3870    409.4847    6.67055021    80.19933     3.511     3.016     3.906    7362.4    7741.1    7061.7  0.859115  0.798513  1.024255  1.050415  0.6167751  0.6010846  0.4410538  0.5905828   0.08059    25.603   0.03798    11.608     34.3831    45.61469   0.0162954   0.1346133   0.2210107   0.1411570  -0.06520   0.053083954   0.013136117   0.020680607   0.029507414     1.2530     0.22878   0.702430     0.77274   0.037001    0.70990    0.57034    0.40078    0.31204   0.291477   0.103002   0.167740   0.171089   1.000000   0   600     0   1   0.00000000    168689   50.006  14.6882  3.53188  3.53188   0.93615   0.95594   0.28338   1.00000   0.04114   0.40643   6.35068   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
    84   17.710   15.584   33.893   47.650   -1.444   1.7250     19.7413  5.381   0.5815  89.3750   0.9286   0.0020   0.4648   0.0000   0.6606   0.1658     37.9     1    2.441    166797   0.9297   0.9276     2.81408   1.0000000
    85   12.350   13.243   30.716   50.817   -1.354   1.3017     10.7137  6.449   0.5875  88.0568   0.9256   0.0074   0.6332   0.0000   0.5254   0.2869     35.4     1    2.017    154469   0.9276   0.9237     3.53880   1.0000000
    86   11.310   13.800   26.992   36.524   -1.257   0.9159      8.1715  6.859   0.6165  85.6847   0.9198   0.0101   0.9053   0.0000   0.4503   0.5124     57.6     1    1.672    165742   0.9237   0.9159     3.90931   1.0000000
    87    8.040   14.384   23.998   26.980   -1.198   0.6692      6.4844  7.226   0.6423  82.9678   0.9123   0.0110   1.1540   0.0000   0.3824   0.4756     86.1     1    1.413    178012   0.9159   0.9088     2.07823   1.0000000
    88   10.100   12.497   29.442   51.542   -1.319   1.2317      9.0282  6.523   0.5744  87.2858   0.9238   0.0082   0.7313   0.0000   0.4550   0.4667     39.6     1    1.886    149206   0.9276   0.9200     6.08659   1.0000000
    89    7.850   11.608   24.173   34.979   -1.200   0.7433      4.6903  6.807   0.5662  83.0576   0.9126   0.0107   1.1375   0.0000   0.3056   0.7525     59.8     1    1.368    152110   0.9200   0.9052     4.45198   1.0000000
    90    6.050   11.360   21.147   32.805   -1.163   0.5750      3.4742  8.075   0.6069  79.5535   0.9017   0.0109   1.3831   0.0000   0.1631   0.4213     80.7     1    1.189    147961   0.9052   0.8982     1.59966   1.0000000
    91    8.400   10.275   24.876   56.509   -1.213   0.8773      4.3380  8.248   0.5832  84.6667   0.9171   0.0102   0.9833   0.0000   0.2521   0.3981     37.5     1    1.506    129137   0.9200   0.9142     3.04582   1.0000000
    92    8.330    6.353   35.070  183.819   -1.476   2.4263      4.6117  6.015   0.3127  89.1621   0.9281   0.0043   0.4244   0.0000   0.2570   0.3407      7.7     1    2.425     84591   0.9332   0.9230    15.98074   1.0000000
    93    6.310    6.148   23.850   71.535   -1.195   0.8856      1.5600  6.173   0.1763  77.9877   0.8963   0.0164   1.1449   0.0000   0.0616   1.0087     20.3     2    1.211     95831   0.9230   0.8696     6.46039   1.0000000
    94    8.980    7.112   59.356  285.100   -1.892   5.5299     13.2978  4.604   0.2848  93.6181   0.9373  -0.0085   0.0173   0.0000   0.4364   0.0171      0.5     1    5.464     91379   0.9386   0.9360    14.69467   1.0000000
    95    8.860    7.276   42.457  189.547   -1.658   3.9390      9.9097  4.395   0.3299  91.4333   0.9330  -0.0049   0.1683   0.0000   0.4249   0.1527      4.7     1    3.200     93062   0.9360   0.9300    19.10317   1.0000000
    96    7.970    7.896   28.535   93.738   -1.295   2.3086      6.7852  4.008   0.3622  88.2373   0.9260  -0.0025   0.4844   0.0000   0.4045   0.3548     13.9     1    1.780    103406   0.9300   0.9220     8.74057   1.0000000
    97    6.560    7.960   61.349  290.294   -1.906   5.9355     14.0677  4.336   0.2696  93.7412   0.9375  -0.2060   0.0137   0.0000   0.2518   0.0137      0.5     1    3.737    114166   0.9389   0.9363    15.07134   1.0000000
    98    5.920    7.396   46.207  275.394   -1.730   4.1117      8.6082  5.580   0.3050  92.1001   0.9344  -0.2184   0.0934   0.0000   0.1692   0.0790      2.1     1    2.412    110822   0.9363   0.9325    15.21259   1.0000000
    99   21.740   18.706   72.718   81.695   -1.961   6.3319    104.7083  3.021   0.4377  94.6522   0.9392  -0.0043   0.0000   0.0000   0.8456   0.0000      0.0     1    6.428    189841   0.9393   0.9391     1.60571   1.0000000
   100   19.200   18.530   71.116   80.604   -1.956   5.8872     95.6528  3.178   0.4553  94.5299   0.9390  -0.0067   0.0000   0.0000   0.8441   0.0000      0.0     1    6.084    192260   0.9391   0.9389     1.59829   1.0000000
   101   16.140   15.262   68.585   96.011   -1.946   4.9211     54.2997  3.732   0.4600  94.3060   0.9386  -0.0109   0.0010   0.0000   0.7811   0.0010      0.1     1    5.619    170417   0.9389   0.9383     3.46437   1.0000000
   102   16.390   14.471   66.191  104.627   -1.935   4.5848     45.7315  4.150   0.4833  94.0875   0.9382  -0.0120   0.0031   0.0000   0.7517   0.0016      0.3     1    5.562    159899   0.9383   0.9381     1.32284   1.0000000
   103   16.420   14.577   58.679   98.972   -1.886   4.0841     41.1692  4.430   0.5073  93.3443   0.9368  -0.0084   0.0430   0.0000   0.7379   0.0409      4.3     1    4.939    155163   0.9381   0.9355    13.70254   1.0000000
   104   14.620   14.579   48.042   85.920   -1.761   3.3270     33.5287  4.721   0.5285  92.1825   0.9345  -0.0060   0.1307   0.0000   0.7110   0.0792     11.8     1    3.884    152836   0.9355   0.9336     7.57045   1.0000000
   105   15.680   14.978   39.580   63.436   -1.593   2.4427     25.8350  4.863   0.5453  90.6859   0.9315  -0.0035   0.3158   0.0000   0.6743   0.2184     27.6     1    3.036    156566   0.9336   0.9294     9.35422   1.0000000
   106   14.500   16.667   32.115   38.877   -1.393   1.7048     22.3686  4.756   0.5693  88.5959   0.9269  -0.0011   0.5724   0.0000   0.6501   0.3286     61.2     1    2.251    180261   0.9294   0.9244     5.57554   1.0000000
   107   13.560   12.673   28.798   45.563   -1.302   1.2433      9.4268  5.811   0.5520  87.2125   0.9236   0.0007   0.7187   0.0000   0.4954   0.1235     39.9     1    1.850    150898   0.9244   0.9228     1.05848   1.0000000
   108    9.960    9.183   25.498   46.105   -1.225   0.7875      3.1350  6.727   0.5048  83.3831   0.9135   0.0012   1.0958   0.0000   0.2337   0.8194     36.1     1    1.366    131451   0.9228   0.9042     5.54063   1.0000000
   109    7.250    9.193   21.473   15.680   -1.166   0.3202      1.2776  5.634   0.4404  71.4707   0.8693  -0.0015   1.8167   0.0000   0.1063   1.5181     83.1     2    0.862    167246   0.9042   0.8344     2.50942   1.0000000
   110    4.990    4.978   20.278    1.664   -1.157  -0.0394     -0.0498  2.734   0.0427   0.0000   0.0724  -0.0040   3.0426   0.0000   0.0739   2.9339     65.9     2    0.510    154850   0.8178   0.0000    -0.11835   1.0000000
   111   10.390   11.670   26.822   45.876   -1.253   0.9793      6.2929  6.837   0.5755  85.8225   0.9201   0.0014   0.8694   0.0000   0.3896   0.3774     40.4     1    1.615    147232   0.9228   0.9174     2.89303   1.0000000
   112    8.110   12.049   23.438   25.376   -1.189   0.5576      3.8194  6.859   0.5855  81.0086   0.9064   0.0006   1.3130   0.0000   0.2852   0.9664     74.9     1    1.218    170430   0.9174   0.8955     3.87470   1.0000000
   113    9.370   13.592   29.186   52.324   -1.312   1.4830     12.9322  5.999   0.5820  87.4711   0.9242  -0.0007   0.6907   0.0000   0.4712   0.0243     50.5     1    1.956    154853   0.9244   0.9241     0.28278   1.0000000
   114    7.170   13.101   28.964   57.011   -1.306   1.3521     10.9527  6.910   0.6117  87.3846   0.9240  -0.0005   0.7004   0.0000   0.4356   0.0145     44.0     1    1.904    152412   0.9241   0.9239     0.16050   1.0000000
   115    6.330   11.128   27.926   72.374   -1.280   1.1708      6.8445  8.606   0.6247  86.9742   0.9230  -0.0005   0.7499   0.0000   0.3229   0.1636     31.7     1    1.790    134566   0.9239   0.9221     1.91477   1.0000000
   116    8.080   10.623   24.809   62.364   -1.211   0.8226      4.3811 10.076   0.6518  85.2565   0.9187   0.0001   0.9494   0.0000   0.2355   0.4857     34.7     1    1.552    129901   0.9221   0.9152     4.31962   1.0000000
   117    8.910   10.924   22.277   55.320   -1.174   0.6644      3.7413 11.376   0.6870  83.7077   0.9145   0.0006   1.0918   0.0000   0.1792   0.1342     42.6     1    1.427    128711   0.9152   0.9137     0.74565   1.0000000
   118    6.050    8.886   27.532   93.271   -1.270   1.1047      4.1186  9.387   0.5902  86.7731   0.9225  -0.0003   0.7706   0.0000   0.2228   0.2266     20.2     1    1.679    115706   0.9239   0.9211     2.70298   1.0000000
   119    6.390    7.278   29.185   90.495   -1.312   1.3869      3.4662  5.940   0.3904  85.8902   0.9203   0.0010   0.8210   0.0000   0.1998   0.6817     19.5     1    1.632    106310   0.9294   0.9112    11.43618   1.0000000
   120    7.530    7.606   23.127   70.378   -1.185   0.9748      2.6636  6.872   0.4572  82.3133   0.9104  -0.0009   1.0489   0.0000   0.1178   0.1144     27.3     1    1.278    107332   0.9112   0.9096     0.67949   1.0000000
   121    6.980    7.477   38.747  224.740   -1.573   2.8953      7.6941  7.286   0.4722  91.0387   0.9322  -0.0044   0.2528   0.0000   0.3141   0.1345      6.1     1    3.043     89750   0.9336   0.9309    11.01896   1.0000000
   122    4.610    7.509   30.963  186.516   -1.361   2.0084      5.3798  8.752   0.5367  89.9995   0.9300  -0.0042   0.3697   0.0000   0.2703   0.1227      7.2     1    2.174     92461   0.9309   0.9291     4.55057   1.0000000
   123    7.500    6.741   45.344  296.621   -1.715   3.5675      7.6400  7.006   0.4140  92.0495   0.9343  -0.0170   0.1337   0.0000   0.3120   0.0829      2.8     1    3.789     84012   0.9355   0.9330    12.96569   1.0000000
   124    8.760    6.777   52.536  264.678   -1.824   3.9208      8.5607  5.744   0.3359  92.3552   0.9349  -0.0174   0.1205   0.0000   0.3640   0.1196      2.7     1    4.179     92188   0.9383   0.9315    28.63363   1.0000000
   125   10.120    6.421   35.027  224.231   -1.475   2.8960      5.6948  6.252   0.3835  90.1546   0.9303  -0.0454   0.2737   0.0000   0.2595   0.1188      5.0     1    2.707     79234   0.9315   0.9292     6.38504   1.0000000
   126    6.990    6.046   25.968  104.054   -1.234   1.4932      3.0012  5.689   0.3857  86.0620   0.9207  -0.1413   0.7583   0.0000   0.0703   0.6566     14.2     2    1.462     98861   0.9292   0.9123    11.73269   1.0000000
   127    8.460    6.045   27.191  152.174   -1.262   1.5701      2.6935  7.309   0.3809  87.5519   0.9244   0.0168   0.5767   0.0000   0.2013   0.4309      7.5     1    1.713     81879   0.9292   0.9196     9.28638   1.0000000
   128    8.360    5.284   32.782  300.940   -1.412   2.3466      2.8659  8.161   0.2414  89.0535   0.9279   0.0484   0.3504   0.0000   0.1819   0.2303      3.6     1    2.415     67029   0.9315   0.9244    10.87391   1.0000000
   129   15.420   13.365   54.183  117.347   -1.843   4.8971     41.3724  4.011   0.4492  93.0559   0.9362  -0.0014   0.0851   0.0000   0.6631   0.0851      9.0     1    4.856    135800   0.9389   0.9336    32.26855   1.0000000
   130   15.750   14.006   37.036   96.243   -1.529   4.2126     38.9241  3.999   0.4719  91.6111   0.9334   0.0013   0.1674   0.0000   0.6496   0.0248     18.3     1    3.452    124772   0.9336   0.9332     2.02532   1.0000000
   131   12.690   13.553   32.113  100.339   -1.393   3.7256     32.2094  4.560   0.5068  91.0895   0.9323   0.0023   0.2308   0.0000   0.5856   0.0998     22.6     1    2.955    119457   0.9332   0.9314     7.82026   1.0000000
   134    5.110   10.106   28.852   35.609   -1.303   1.4102      6.7186  3.174   0.3045  81.1143   0.9068   0.0079   1.1946   0.0000   0.2643   1.1736     98.6     1    1.424    154525   0.9332   0.8804    14.34334   1.0000000
   135    7.130    3.566   30.617  178.766   -1.351   4.1277      2.4435  1.919   0.0870  83.9643   0.9152   0.0117   0.5623   0.0000   0.1628   0.5125      6.5     2    1.882     58700   0.9336   0.8967    14.86260   1.0000000
   136    7.370    8.188   67.391  178.882   -1.941   5.9322     19.0074  3.108   0.2307  93.1606   0.9364  -0.0053   0.0533   0.0000   0.5492   0.0533      2.5     1    4.829    121902   0.9398   0.9331    23.96250   1.0000000
   137    8.280    8.724   41.720  107.881   -1.642   3.5721     12.7547  3.286   0.2655  87.5358   0.9244  -0.0002   0.5273   0.0000   0.3676   0.4965     30.2     1    2.717    116778   0.9331   0.9157    27.37878   1.0000000
   138    8.460    9.229   27.419   76.597   -1.267   2.4927      9.9916  3.543   0.3060  83.9146   0.9150   0.0085   0.7594   0.0000   0.3064   0.0827     47.5     1    1.806    111534   0.9157   0.9144     1.22365   1.0000000
   139    6.840    8.752   24.653   68.126   -1.209   1.7982      6.4600  4.135   0.3400  82.5159   0.9110   0.0004   0.8927   0.0000   0.2398   0.3723     44.1     1    1.491    112466   0.9144   0.9077     4.30804   1.0000000
   140    6.790    7.131   48.915   87.620   -1.775   2.6164      6.2528  2.981   0.1597  85.3843   0.9190   0.0020   0.5968   0.0000   0.3865   0.5693     18.5     1    2.547    123681   0.9331   0.9049    12.98870   1.0000000
   213   13.240   11.409   29.112   48.583   -1.310   2.1499     13.2068  3.225   0.3262  73.6434   0.8792  -0.0017   0.5944   0.0000   0.5497   0.5944     38.7     1    1.812    141755   0.8825   0.8759     4.49196   1.0000000
   214    8.740    6.856   25.018   68.880   -1.215   1.4381      3.1896  4.108   0.2343  71.4753   0.8694  -0.0010   0.9337   0.0000   0.1997   0.7109     24.3     1    1.316    103608   0.8759   0.8628     3.69667   1.0000000
   215   11.360   10.628   26.594   52.438   -1.248   1.8788     10.0157  3.711   0.3555  72.8067   0.8755  -0.0018   0.6385   0.0000   0.4904   0.1424     33.6     1    1.645    132425   0.8759   0.8751     0.54443   1.0000000
   216    8.430   10.049   26.222   54.737   -1.240   1.5749      7.5063  4.369   0.3939  72.6762   0.8749  -0.0020   0.6952   0.0000   0.4364   0.0632     29.7     1    1.553    130779   0.8751   0.8748     0.20088   1.0000000
   218    9.850   12.632   23.261   44.157   -1.187   2.6581     19.9999  2.624   0.2778  71.9794   0.8717  -0.0009   0.4900   0.0000   0.6435   0.4900     41.8     1    1.719    129420   0.8743   0.8692     3.68906   1.0000000
   219    9.020   11.137   20.721   42.090   -1.160   2.0510     11.9975  2.858   0.2783  71.1340   0.8677  -0.0009   0.6385   0.0000   0.5524   0.3491     40.2     1    1.416    122456   0.8692   0.8662     1.39094   1.0000000
   220    6.360    9.638   18.547   30.991   -1.150   1.2342      5.4062  3.026   0.2625  69.1354   0.8576  -0.0010   1.1203   0.0000   0.3274   0.8594     66.0     1    1.012    130183   0.8662   0.8489     2.95840   1.0000000
   221    7.140    9.944   19.348   36.646   -1.152   1.4133      6.5913  3.224   0.2913  70.3156   0.8637  -0.0008   0.9021   0.0000   0.4189   0.4578     46.1     1    1.166    122877   0.8662   0.8611     1.35628   1.0000000
   222    7.350    8.155   21.002   92.135   -1.162   2.5515      8.0020  3.682   0.2770  71.3473   0.8687  -0.0009   0.5394   0.0000   0.3667   0.1422     19.7     1    1.569     86763   0.8692   0.8683     0.83031   1.0000000
   223    5.640    9.675   18.595   29.915   -1.150   1.0834      4.7817  3.341   0.2955  68.8624   0.8561  -0.0008   1.2032   0.0000   0.2868   1.0774     71.7     1    1.007    131544   0.8683   0.8440     3.98295   1.0000000
   230    9.250   10.552   18.075   25.435   -1.148   0.5714      3.0000  5.873   0.5000  69.0866   0.8573  -0.0004   1.2223   0.0000   0.3264   1.2223     47.2     1    0.966    143672   0.8667   0.8480     2.54388   1.0000000
   231   11.620    9.872   16.063    9.927   -1.146   0.2383      1.0944  5.141   0.4325  61.1519   0.8065   0.0001   1.9773   0.0000   0.1475   1.7983    103.7     2    0.671    168313   0.8480   0.7650     1.48087   1.0000000
   235    9.490   11.249   23.039   26.724   -1.183   0.5745      3.4261  6.542   0.5500  70.7288   0.8657  -0.0002   1.1415   0.0000   0.3756   1.1415     44.2     1    1.218    157139   0.8732   0.8583     2.50773   1.0000000
   236    7.130    9.301   19.700    3.744   -1.154   0.2335      0.9521  1.865   0.1024  52.3329   0.7231  -0.0001   1.9165   0.0000   0.5114   1.9165     78.4     1    0.574    226085   0.8675   0.5788     0.42493   1.0000000
   237   12.370    8.225   19.421    2.981   -1.153   0.1493      0.4760  2.053   0.1069  37.1190   0.4824  -0.0001   2.1994   0.0000   0.4081   1.4409     76.4     1    0.513    220580   0.5788   0.3860     0.13343   1.0000000
   238   10.710    8.459   19.306    2.255   -1.152   0.1097      0.3701  2.172   0.1289  27.8782   0.2831   0.0001   2.5407   0.0000   0.2879   1.2566    131.6     1    0.482    238591   0.3860   0.1802     0.09813   1.0000000
   302    9.300    7.823   70.668  235.457   -1.954   6.4133     18.0974  3.551   0.2410  94.2132   0.9384   0.0215   0.0034   0.0000   0.5319   0.0034      0.1     1    5.750    110231   0.9396   0.9373    11.20308   1.0000000
   303    9.460    7.760   56.084  207.791   -1.863   4.8387     13.4023  4.115   0.2835  92.3959   0.9350   0.0208   0.0768   0.0000   0.5054   0.0736      2.6     1    4.616     99122   0.9373   0.9326    17.96575   1.0000000
   321    8.310    9.156   16.734   23.654   -1.147   0.8054      3.1836  3.362   0.2834  66.9014   0.8451  -0.0009   1.3922   0.0000   0.2338   0.3957     75.6     1    0.828    134589   0.8489   0.8413     0.66571   1.0000000
   327    5.460   10.453   22.140   52.549   -1.173   0.5225      2.6981 13.161   0.7077  84.7182   0.9172   0.0003   1.0676   0.0000   0.2093   0.7535     28.9     1    1.393    125824   0.9236   0.9108     4.61982   1.0000000
   352    6.670    4.851   46.078  422.097   -1.728   3.5318      3.5144  6.865   0.1154  88.2178   0.9260   0.1209   0.3337   0.0000   0.1830   0.3322      4.1     1    3.724     67830   0.9381   0.9139    33.82066   1.0000000
   380    7.320    9.081   23.421   68.430   -1.189   0.8277      3.1939  9.351   0.5841  84.8131   0.9175   0.0107   0.9499   0.0000   0.2055   0.1706     25.3     1    1.399    116364   0.9185   0.9164     1.11420   1.0000000
   387    6.790   14.621   22.227   23.182   -1.174   0.5410      5.4149  7.806   0.6667  80.6849   0.9054   0.0114   1.3386   0.0000   0.3102   0.4421    112.9     1    1.277    183508   0.9088   0.9020     1.46393   1.0000000
   399    6.020    4.911   57.802 1173.341   -1.879   9.1191      9.0550  7.383   0.2512  94.2301   0.9385   0.0927   0.0019   0.0000   0.0995   0.0019      0.0     1    5.866     68125   0.9391   0.9378    28.22621   1.0000000
  1008    5.810    7.639   31.446   97.379   -1.375   2.1888      5.9991  4.241   0.2975  85.1275   0.9183   0.0029   0.8647   0.0000   0.1568   0.8447     38.0     2    1.776    110886   0.9348   0.9018    28.20809   1.0000000
  1010    5.060    8.291   31.007   87.887   -1.362   1.8685      6.0485  4.873   0.3731  85.5368   0.9194   0.0025   0.9030   0.0000   0.1637   0.8819     42.4     2    1.737    119312   0.9346   0.9042    27.33044   1.0000000
  1017    7.850    7.437   24.390   69.558   -1.204   0.7053      1.8374  9.166   0.5447  83.8969   0.9150   0.0025   1.1173   0.0000   0.0825   0.9688     22.4     2    1.299    109338   0.9272   0.9027     8.60997   1.0000000
  1020    9.120    6.044   21.168   21.874   -1.163   0.2062      0.3547  8.010   0.4181  74.5914   0.8832   0.0047   1.6727   0.0000   0.0799   1.4526     16.8     2    0.729    131056   0.9163   0.8501     1.33317   1.0000000
  1021   11.110   11.426   20.846   71.419   -1.161   0.5702      3.4991 17.867   0.7833  83.7019   0.9144   0.0046   1.1451   0.0000   0.0696   0.1006     45.5     2    1.511    118815   0.9150   0.9139     0.69109   1.0000000
  1022    6.560    6.276   18.863   15.255   -1.151   0.1563      0.2895  7.646   0.4167  70.5510   0.8649   0.0050   1.8711   0.0000   0.0664   1.4545     22.0     2    0.602    143371   0.9015   0.8282     0.80621   1.0000000
  1023   11.110    7.545   20.403   30.873   -1.158   0.2821      0.7556 10.314   0.5544  77.8850   0.8959   0.0024   1.5382   0.0000   0.0605   1.1867     25.7     2    0.899    127564   0.9135   0.8784     2.26096   1.0000000
  1024   10.710    7.919   23.412   40.932   -1.189   0.6291      1.8708  6.461   0.6241  82.0242   0.9096  -0.0134   1.3268   0.0000   0.1039   1.2176     38.0     2    1.148    123846   0.9264   0.8927     7.58842   1.0000000
  1025    7.350    6.758   26.812   89.914   -1.253   0.8540      1.8361  8.889   0.5107  85.5082   0.9193   0.0031   0.9509   0.0000   0.1105   0.8406     14.6     4    1.418    102989   0.9298   0.9088     9.80258   1.0000000
  1026    6.300    6.261   25.048  118.608   -1.216   0.8334      1.5398 11.139   0.5968  86.8483   0.9227   0.0015   0.8127   0.0000   0.1023   0.5564      8.5     4    1.363     93438   0.9275   0.9179     6.27512   1.0000000
  1030    4.040    9.546   20.643   36.261   -1.159   0.8398      3.6014  5.148   0.4315  80.3669   0.9044   0.0032   1.2948   0.0000   0.1721   1.1044     67.6     4    1.066    136817   0.9218   0.8870     7.69709   1.0000000
  1031   12.100    9.117   20.220   36.369   -1.157   0.6646      2.6011  6.234   0.4766  79.8022   0.9026   0.0030   1.3611   0.0000   0.1297   1.1628     57.4     4    1.073    127884   0.9204   0.8847     6.61120   1.0000000
  1032    6.060    9.928   18.269   39.747   -1.149   0.5906      2.7420  8.351   0.5854  80.7265   0.9055   0.0029   1.2898   0.0000   0.1440   0.6688     50.9     4    1.056    126665   0.9117   0.8994     2.94871   1.0000000
  1033    6.000    8.889   25.716   57.898   -1.229   1.1849      4.4004  5.422   0.4246  83.0240   0.9125   0.0051   1.1585   0.0000   0.1249   1.1229     59.1     2    1.408    125114   0.9322   0.8928    18.00873   1.0000000
  1034    6.880   10.386   25.570   53.167   -1.226   0.8805      4.4681  7.832   0.5794  83.8902   0.9150   0.0043   1.1935   0.0000   0.1341   1.1579     65.4     2    1.490    135695   0.9320   0.8979    16.97801   1.0000000
  1035    6.360   10.354   19.476   33.092   -1.153   0.5046      2.5447  8.480   0.6014  78.1126   0.8968   0.0046   1.5045   0.0000   0.0712   0.8632     79.1     2    1.061    139438   0.9064   0.8871     3.53355   1.0000000
  1036    5.080    7.552   22.501   65.227   -1.177   1.1608      3.1028  5.290   0.3469  81.6635   0.9085   0.0055   1.1318   0.0000   0.0910   1.0399     39.1     2    1.200    108968   0.9267   0.8902    12.75494   1.0000000
  1037    4.140    8.445   19.772   23.937   -1.154   0.5441      1.8264  4.641   0.3757  74.7379   0.8838   0.0024   1.5532   0.0000   0.1338   1.2811     63.8     2    0.867    141438   0.9089   0.8588     3.65463   1.0000000
  1038    5.840    7.616   35.292  108.597   -1.483   2.2137      6.0406  4.666   0.3276  85.4687   0.9192   0.0010   0.8936   0.0000   0.1129   0.8878     41.3     2    2.037    111381   0.9366   0.9018    36.78154   1.0000000
  1039    8.070    6.116   33.036  127.278   -1.420   1.7994      3.1709  5.407   0.2676  84.6940   0.9172   0.0006   0.8634   0.0000   0.0808   0.8399     20.0     2    2.043     87893   0.9345   0.8998    22.99001   1.0000000
  1040    4.200    6.449   29.652   94.686   -1.325   1.3921      2.7263  5.481   0.2981  83.6182   0.9142   0.0023   0.9767   0.0000   0.0834   0.9300     23.2     2    1.539    102538   0.9323   0.8961    16.22377   1.0000000
  1042    5.810    8.001   22.395   60.308   -1.175   0.9606      2.8894  6.270   0.4413  82.2585   0.9103   0.0048   1.1803   0.0000   0.0853   1.0280     41.0     2    1.193    114802   0.9257   0.8949    11.11707   1.0000000
  1045    4.720    9.820   22.508   33.673   -1.177   0.4785      2.1700  8.630   0.5847  80.6171   0.9052   0.0063   1.3892   0.0000   0.1432   1.2247     51.2     2    1.125    145768   0.9226   0.8878     5.68637   1.0000000
  1046    7.240    9.310   19.953   75.044   -1.155   0.5754      2.3418 15.150   0.7126  83.5194   0.9139   0.0055   1.1224   0.0000   0.0578   0.2457     28.8     2    1.314    107241   0.9154   0.9125     1.48540   1.0000000
  1047    6.430    8.477   20.528   19.853   -1.159   0.3138      1.0599  6.697   0.4789  74.6700   0.8835   0.0063   1.6700   0.0000   0.1240   1.1489     49.0     2    0.838    151782   0.9029   0.8642     1.72662   1.0000000
  1048   14.660    8.758   20.179   52.963   -1.156   0.6940      2.5047  8.348   0.5509  81.6398   0.9084   0.0049   1.2587   0.0000   0.0781   0.9225     43.1     2    1.183    112914   0.9191   0.8977     6.68492   1.0000000
  1049    8.860   13.158   19.627   14.492   -1.154   0.3608      2.9382  6.599   0.5983  75.4987   0.8869   0.0059   1.7198   0.0000   0.2064   1.4967    151.7     2    0.981    188251   0.9134   0.8604     3.85612   1.0000000
  1050    7.240    6.716   23.341  118.016   -1.188   1.1383      2.4114  8.689   0.4999  85.8174   0.9201   0.0051   0.8836   0.0000   0.0662   0.7249     16.1     2    1.428     88507   0.9283   0.9120    12.96179   1.0000000
  1051    4.590    9.031   19.184   43.075   -1.152   0.5807      2.2329  8.376   0.5628  79.7852   0.9025  -0.0001   1.3554   0.0000   0.0713   0.8909     48.6     2    1.023    125716   0.9123   0.8927     4.38866   1.0000000
  1055    4.140    6.654   30.811  137.006   -1.357   1.9589      4.0812  5.813   0.3325  86.4160   0.9216   0.0054   0.7657   0.0000   0.1066   0.7348     19.8     2    1.697    101011   0.9343   0.9090    26.54986   1.0000000
  1056    5.200    7.112   31.376  135.021   -1.373   1.8588      4.4303  6.457   0.4025  88.6337   0.9270   0.0037   0.5383   0.0000   0.2607   0.4402     10.9     1    1.854    101179   0.9324   0.9214    13.98054   1.0000000
  1058    7.670    7.507   23.602  116.252   -1.191   1.3925      3.6848  7.820   0.4890  86.6516   0.9222   0.0066   0.7972   0.0000   0.1311   0.6276     19.5     2    1.505     94006   0.9290   0.9154    14.27774   1.0000000
  1059    8.460    7.277   22.663   56.145   -1.179   0.7616      1.8954  6.697   0.4260  81.4862   0.9079   0.0073   1.2398   0.0000   0.0704   1.1089     31.2     2    1.148    110660   0.9261   0.8897     8.53381   1.0000000
  1060    5.040    8.648   20.917   47.687   -1.161   0.6731      2.3604  7.639   0.5169  81.5060   0.9080   0.0094   1.2891   0.0000   0.0913   1.1198     43.8     2    1.088    124258   0.9241   0.8919     8.14172   1.0000000
